initial_altitude_km,satellite_mass_kg,cross_sectional_area_m2,orbital_eccentricity,solar_activity_index,drag_coefficient,decay_time_days
349.816048,29.983722,1.113165,0.036600,177.758527,2.926071,47.064455
546.470458,106.957216,0.200391,0.035404,73.705209,2.401673,15000.000000
272.729987,3.595370,0.074763,0.015212,164.456158,1.775107,69.268416
444.741158,115.385267,2.267399,0.014607,135.945132,1.709241,596.504298
279.869513,3.972165,0.032477,0.029621,78.361074,2.271352,549.641325
226.020637,342.432280,7.115369,0.048282,215.511523,2.923328,10.723792
376.060997,17.632624,0.059750,0.024759,76.189934,1.683057,5499.369218
465.008914,164.329490,8.105016,0.026003,168.407850,1.967567,156.503881
510.053129,9.873360,0.018428,0.044741,177.621996,2.909248,3220.179669
278.393145,69.422204,3.063462,0.016267,139.961912,1.567841,53.240786
342.701331,3.708077,0.016736,0.027135,95.366360,1.921402,1737.555380
594.754775,426.188282,1.319994,0.009936,70.993981,2.658367,15000.000000
491.602867,81.192226,3.884278,0.003702,134.523831,2.656906,230.015871
449.319251,55.017555,1.544609,0.003178,125.976818,1.996347,439.830243
455.022989,441.589531,1.915822,0.023611,91.526964,2.830819,3480.102992
424.510879,54.837822,0.775227,0.024690,164.091909,2.656451,315.614262
212.571674,23.919847,0.055960,0.015718,161.542724,2.454616,160.146728
364.153169,1.245712,0.030455,0.011440,83.856384,2.633327,383.691250
571.879061,11.413360,0.036284,0.031670,226.862906,2.712181,1950.663011
557.023599,114.739646,2.864433,0.040372,231.296434,2.309013,252.570539
370.843115,17.973639,0.178745,0.043037,71.251383,2.727022,1170.159791
288.843124,10.708066,0.360058,0.016881,239.723747,1.679798,28.373104
481.207584,8.497159,0.310274,0.048589,243.240513,2.045444,108.891514
320.351324,140.044586,2.033852,0.001844,179.721580,1.927261,147.441651
563.306354,23.392996,0.053231,0.007245,158.101497,1.859343,7842.264076
468.854219,43.928200,0.788710,0.011882,201.078943,2.642429,250.072780
453.411884,1.465345,0.036271,0.004514,220.354449,2.303662,162.064075
216.310057,4.228831,0.047807,0.033878,72.985809,2.386339,145.659508
458.069116,8.890043,0.025856,0.034547,139.612362,1.761550,3847.593227
336.426540,21.874009,0.954887,0.046235,227.921084,1.670210,37.845748
526.888880,82.541778,4.916401,0.026483,113.533412,2.332801,331.076494
560.167223,443.656126,2.116387,0.016951,132.857723,2.449652,3703.263798
511.950218,273.115645,0.659610,0.004207,99.093169,2.463047,9678.477919
203.678821,6.861893,0.442794,0.033175,70.911085,1.652207,28.933906
476.758079,2.967149,0.094667,0.011213,198.192260,2.477942,162.916551
498.596562,2.182791,0.019100,0.042461,188.370321,2.474449,680.657544
347.086321,209.518400,4.743945,0.012199,245.141900,1.897804,70.423914
452.455450,3.561081,0.038524,0.025132,173.842699,2.692217,451.772739
488.980846,127.295982,6.627897,0.001216,186.185013,1.921159,161.335415
581.571431,104.456898,0.192554,0.018508,72.782191,2.872297,15000.000000
586.661928,237.573617,3.576103,0.042650,123.000801,2.945430,1193.477486
326.768802,68.513484,0.513078,0.027840,238.507859,1.754239,185.788614
238.870598,394.440482,4.286662,0.049503,95.215123,2.422511,136.119986
496.307447,107.555924,2.679683,0.035124,134.708407,2.545524,428.780639
524.045358,247.268664,2.482479,0.045662,162.041632,2.800608,797.172104
459.985572,6.412167,0.133890,0.039790,230.200962,2.552950,149.789208
237.592776,7.158237,0.072381,0.001797,153.807643,2.367420,72.472917
436.333304,261.599387,8.271309,0.001867,218.068101,1.545750,171.373650
507.997421,4.383293,0.392703,0.031145,85.362544,1.823732,412.801088
416.254049,8.615336,0.093083,0.036305,245.653374,2.456145,194.780938
518.074478,81.313918,7.725832,0.021949,84.122149,1.906248,419.086313
534.392048,1.321268,0.056329,0.020448,101.192978,2.543961,556.073392
419.690666,277.622672,0.515163,0.033010,120.388101,2.571894,4062.681054
444.688298,2.280161,0.011045,0.012387,134.075082,2.129400,2004.920899
246.429056,32.554358,0.264558,0.002036,223.982905,1.569004,80.453798
239.133664,9.579292,0.156861,0.023674,101.176337,2.237424,96.138312
446.340039,45.849003,0.323153,0.002265,137.430271,2.452640,1196.562483
542.595936,1.844219,0.012010,0.008147,82.702375,2.488040,5834.994331
434.310233,42.716985,0.237006,0.028774,139.870587,2.910345,1041.164885
418.246716,19.441411,0.038670,0.019305,243.014301,2.912197,977.644917
227.744520,1.953147,0.016352,0.000911,86.999733,1.651167,292.404567
327.590252,348.671846,8.366153,0.001164,216.604327,2.767313,48.199683
451.577139,1.445845,0.034066,0.036754,214.626567,2.816208,129.812012
500.245901,123.955598,2.134219,0.049525,144.271182,2.710252,504.117138
336.321416,52.458811,0.192009,0.042921,147.218925,2.896136,577.521740
561.021163,55.175048,0.147097,0.041323,127.608928,2.257879,7192.293284
204.335061,287.145506,0.488576,0.004564,127.476455,2.858073,246.852831
452.734885,272.694075,1.807688,0.014661,129.159618,2.172668,1616.574872
516.631617,7.485122,0.445232,0.004560,158.995655,2.684427,158.265465
376.612201,47.694212,1.925448,0.017546,91.072063,2.831556,204.833461
447.287225,32.070026,2.921327,0.004205,196.174444,1.651684,72.500420
482.496891,4.537622,0.129398,0.004242,247.595124,1.622023,198.211793
525.119827,1.133023,0.017803,0.049300,205.608073,2.920873,316.449151
510.858766,5.426726,0.300521,0.021211,233.143789,2.337606,89.737166
204.541458,15.462766,0.886402,0.002815,91.387225,2.202991,17.495721
498.417952,146.506531,4.034571,0.048109,137.476704,2.375053,389.514005
289.438335,82.184049,4.714432,0.000608,244.578189,2.944834,9.734014
411.080444,245.850081,0.370931,0.003690,169.693771,2.989447,2380.432083
451.759455,23.677744,0.189315,0.022727,182.960454,2.543623,591.735842
312.385276,11.243920,0.067943,0.044513,152.018216,2.925617,249.851010
275.248464,124.671189,8.378850,0.017668,175.058100,2.195548,15.907273
594.484298,348.214743,1.132905,0.026805,125.714971,2.547243,6720.192824
265.046776,169.639376,0.692222,0.041127,240.963984,2.866391,90.185465
367.297215,2.164806,0.134707,0.043303,78.139361,2.899093,144.024816
524.221332,421.217343,6.368903,0.007521,176.943529,2.980914,479.793692
535.331482,53.943577,3.927961,0.020741,119.213273,2.203040,281.197437
525.160404,424.974048,1.399091,0.049832,169.977707,2.999577,2068.525027
298.939241,5.654486,0.048521,0.006458,241.729185,2.175816,99.398679
468.680274,61.091392,0.363851,0.017908,90.440367,2.427192,3387.495353
508.927357,436.444636,4.265410,0.042609,169.343231,2.280245,854.899856
361.393146,124.682866,1.294909,0.001439,205.924706,1.701023,279.366270
285.185665,12.869633,0.150222,0.000727,133.105761,1.704557,233.696145
374.989969,47.401896,0.154749,0.017413,162.518108,2.856238,872.829110
448.834680,156.934788,0.299467,0.047476,96.473227,2.793546,6448.507249
303.297755,31.470138,0.794699,0.049002,158.671257,2.188704,65.457505
272.752034,4.519799,0.032882,0.044839,155.313095,2.018501,174.682975
276.915608,61.197300,3.922289,0.008447,120.146261,1.561303,48.737886
384.311507,1.767768,0.013120,0.018213,160.615109,1.809501,671.182032
519.764160,6.830580,0.015249,0.004088,227.244152,2.441851,2488.096279
310.751059,3.971202,0.129246,0.037413,103.213783,2.709302,101.084788
393.809194,2.911310,0.012884,0.018446,153.256249,2.427382,990.848190
300.974778,2.160072,0.020966,0.044760,162.101940,2.570024,137.661959
378.964947,161.717504,3.215641,0.012124,118.463782,2.298926,331.790225
284.579203,110.636304,1.089700,0.005988,230.294911,1.991246,86.157861
515.668495,192.329161,1.723132,0.004346,166.679178,2.247663,1146.725499
372.663818,54.567955,0.515626,0.014189,135.354813,1.691370,700.286932
342.438690,123.732906,5.577078,0.030289,112.700823,2.979773,81.967989
264.272549,5.171688,0.017406,0.014255,101.207247,1.779851,908.352476
409.804556,406.217486,8.098625,0.049119,90.167002,2.115595,677.003262
546.202850,278.824684,1.495867,0.012895,100.759766,2.725608,4557.810365
428.645076,6.434203,0.188934,0.038475,103.667875,1.919969,474.168840
403.044151,15.974064,0.554261,0.005742,179.911608,1.863615,138.985474
261.745086,1.049016,0.025307,0.026629,79.328237,2.221710,145.412504
225.349988,44.775522,1.107919,0.016118,215.777400,2.984940,9.678362
504.091144,287.938666,6.145927,0.023579,144.131365,2.393458,514.063585
532.247763,20.246094,0.034970,0.006215,201.556146,2.947540,3538.801457
226.598507,54.848044,2.431095,0.028724,221.529180,2.611681,5.786459
280.650928,43.674934,0.370848,0.008213,216.623450,1.745484,119.913538
343.532194,10.604306,0.135155,0.019622,216.987899,2.815801,98.855446
385.071914,120.979227,4.997165,0.037380,160.489670,1.952067,105.755948
353.556489,120.693924,6.599277,0.045324,182.362839,2.315329,38.862087
451.083221,45.121145,0.398459,0.006964,212.924534,2.002358,542.365195
557.557033,60.476728,1.705450,0.007584,126.109972,2.682896,637.522123
213.412974,130.583692,2.909189,0.038123,227.817815,2.354835,8.926210
244.252695,8.825362,0.028168,0.006374,141.511712,2.769678,252.055479
291.700558,82.856966,0.424789,0.036002,185.406574,2.583379,186.890965
300.719624,15.766222,0.159424,0.009080,233.521101,2.018544,98.026762
384.802321,72.167691,0.682909,0.007668,175.521370,2.920925,289.005629
207.244074,353.912079,1.651622,0.046606,171.723973,2.808186,50.019440
261.015617,462.858688,2.195608,0.030336,146.343521,2.364433,225.437296
380.335749,78.699706,5.787962,0.049242,221.001656,1.669857,35.964917
547.958545,1.429561,0.101296,0.029564,141.820487,2.278257,213.870230
521.141379,354.530938,5.748663,0.016675,141.670365,1.506948,1259.382698
338.538398,5.537697,0.227677,0.036875,151.399229,2.020430,73.195641
256.342808,38.644609,0.122231,0.024918,145.406581,1.764580,434.550475
432.235340,187.732932,7.642069,0.000655,189.436727,2.448396,105.369344
259.465091,46.245729,0.611160,0.004267,249.437365,2.121936,36.804437
226.830591,1.093147,0.037330,0.010495,231.649772,2.624941,7.362102
214.619867,52.535575,0.229016,0.028242,81.827555,2.208100,326.319053
578.446185,78.920146,1.548571,0.013537,185.919918,2.059964,652.654540
486.388892,31.853350,1.036760,0.001355,109.954989,2.488386,505.299470
207.884215,5.515914,0.051826,0.039996,102.138039,1.656163,111.458063
239.776557,37.295960,0.155436,0.036113,224.025364,1.864758,105.100342
210.612882,171.566858,0.589304,0.029152,145.856419,1.772153,165.973243
303.769373,20.113552,0.169136,0.029515,118.251455,2.069539,379.172025
420.818872,5.622595,0.026323,0.014723,240.721595,2.154190,591.708348
547.387190,135.070002,2.294224,0.044728,213.973946,2.231147,412.672696
416.653686,263.319401,0.819949,0.012894,95.084093,2.450217,4051.865374
268.671714,8.114435,0.536475,0.000920,234.573785,1.908461,10.585890
309.622088,69.305929,2.651581,0.032571,219.353525,2.331267,25.808569
560.007457,6.364973,0.033583,0.029871,178.093035,2.810835,1652.032735
233.119467,4.340464,0.116686,0.012267,140.073211,2.404728,28.282308
487.618362,366.553477,2.808911,0.028320,155.689072,1.945683,1357.577272
285.976151,2.916532,0.308389,0.013113,177.114028,1.546775,16.484933
438.737140,20.536177,1.529559,0.038546,89.187686,2.001366,253.848008
398.196526,347.653539,1.114241,0.021741,114.352366,2.532604,2280.954529
308.858055,11.103644,0.025731,0.018049,86.484773,2.385346,2314.226516
580.094942,403.474013,1.223138,0.009257,167.542171,2.169009,4946.234062
463.513347,3.968983,0.046092,0.042460,114.940242,2.538415,960.957931
595.067203,18.943750,0.034812,0.001971,197.003531,2.916089,5013.087246
427.178092,272.719629,5.931828,0.001697,195.535648,2.873232,152.176139
588.423298,35.973490,0.090636,0.023711,225.167677,2.916400,2597.377736
335.949986,251.501545,2.355969,0.003268,126.752261,2.587150,376.082635
208.507764,176.005196,0.550077,0.026447,239.032186,2.812053,45.372768
506.875316,384.368434,1.198419,0.023994,182.950983,2.102896,2650.070115
367.106713,1.902493,0.115842,0.036879,112.979886,2.132036,105.123373
314.895597,95.786422,9.186862,0.011680,77.576774,1.944462,91.374197
371.109253,45.616090,0.106872,0.033982,109.285700,2.076490,3121.260459
367.032310,4.923623,0.031703,0.047237,154.132272,2.818677,414.881368
596.467450,34.367532,0.345196,0.047137,186.936397,1.847508,1392.781879
292.267925,20.918472,0.112299,0.011024,103.558887,1.764792,816.451647
223.137071,24.062121,0.033242,0.044189,236.995411,2.953654,128.799677
358.496808,15.119477,0.047133,0.034801,97.701263,2.637358,2000.540592
289.527046,70.720266,4.289262,0.029647,174.415517,2.305462,19.636169
306.240017,327.965748,1.327842,0.044437,242.017270,1.694272,259.511187
420.342948,33.331875,1.479995,0.020423,137.083933,1.630480,222.085758
398.350294,39.072420,3.577839,0.011009,192.986577,1.621569,50.416614
398.058611,46.823184,1.081555,0.029620,218.442574,2.220880,109.554706
426.292786,444.920762,3.562421,0.043931,213.536684,1.900542,461.345538
546.917680,131.526820,0.717520,0.041851,195.544863,2.562544,1324.218332
501.086656,29.250764,3.002273,0.044044,226.931835,1.737908,59.729061
251.547947,254.226399,1.034994,0.037175,98.936781,2.002678,529.213993
202.554349,6.878530,0.060174,0.030846,246.613512,1.930557,18.973884
453.602281,95.354496,0.420533,0.038992,89.256515,2.309978,4131.945336
585.196802,97.413427,6.481648,0.031631,237.765059,2.012808,123.933262
475.154289,5.814392,0.557842,0.015048,197.470976,1.601756,82.435791
338.353223,375.076264,0.684494,0.002287,226.876625,2.431373,740.989494
252.034496,13.673471,0.292368,0.001229,73.982239,2.637395,146.776597
508.162967,118.535959,0.189908,0.022295,119.252800,2.524943,9406.137813
461.804486,351.034513,6.774040,0.047543,97.190421,1.909889,1010.037177
367.890927,97.558500,0.169045,0.019880,119.358736,2.457789,3094.614199
557.639681,15.055382,0.127520,0.010655,75.604135,1.844932,7682.557987
545.743300,385.690000,1.167207,0.048410,103.394593,2.209815,8477.300702
537.913291,86.822259,5.788200,0.031311,93.624078,2.641536,388.501358
446.660126,25.054184,1.139452,0.024076,91.115474,2.694806,330.387528
372.122358,5.625544,0.064118,0.024580,81.557609,1.800787,1304.863063
519.023640,1.963443,0.150481,0.022761,72.091697,1.965543,667.357270
391.975534,20.769794,0.059831,0.014583,195.096740,2.400031,993.968369
392.202779,4.541049,0.313808,0.012102,247.599267,1.657395,39.466453
