filename,product,face1,face2,face3
00000.png,36,2,3,6
00001.png,10,1,2,5
00002.png,24,2,3,4
00003.png,60,2,5,6
00004.png,6,1,2,3
00005.png,36,2,3,6
00006.png,6,1,2,3
00007.png,120,4,5,6
00008.png,10,1,2,5
00009.png,6,1,2,3
00010.png,120,4,5,6
00011.png,6,1,2,3
00012.png,10,1,2,5
00013.png,24,2,3,4
00014.png,120,4,5,6
00015.png,12,1,3,4
00016.png,10,1,2,5
00017.png,90,3,5,6
00018.png,36,2,3,6
00019.png,72,3,4,6
00020.png,90,3,5,6
00021.png,72,3,4,6
00022.png,6,1,2,3
00023.png,36,2,3,6
00024.png,36,2,3,6
00025.png,72,3,4,6
00026.png,20,1,4,5
00027.png,90,3,5,6
00028.png,30,1,5,6
00029.png,8,1,2,4
00030.png,6,1,2,3
00031.png,15,1,3,5
00032.png,36,2,3,6
00033.png,48,2,4,6
00034.png,8,1,2,4
00035.png,120,4,5,6
00036.png,40,2,4,5
00037.png,120,4,5,6
00038.png,90,3,5,6
00039.png,48,2,4,6
00040.png,48,2,4,6
00041.png,48,2,4,6
00042.png,120,4,5,6
00043.png,6,1,2,3
00044.png,24,2,3,4
00045.png,120,4,5,6
00046.png,10,1,2,5
00047.png,36,2,3,6
00048.png,120,4,5,6
00049.png,120,4,5,6
00050.png,8,1,2,4
00051.png,72,3,4,6
00052.png,36,2,3,6
00053.png,8,1,2,4
00054.png,120,4,5,6
00055.png,8,1,2,4
00056.png,8,1,2,4
00057.png,6,1,2,3
00058.png,24,2,3,4
00059.png,120,4,5,6
00060.png,72,3,4,6
00061.png,20,1,4,5
00062.png,60,2,5,6
00063.png,10,1,2,5
00064.png,10,1,2,5
00065.png,90,3,5,6
00066.png,120,4,5,6
00067.png,20,1,4,5
00068.png,18,1,3,6
00069.png,90,3,5,6
00070.png,18,1,3,6
00071.png,18,1,3,6
00072.png,120,4,5,6
00073.png,20,1,4,5
00074.png,40,2,4,5
00075.png,20,1,4,5
00076.png,20,1,4,5
00077.png,20,1,4,5
00078.png,72,3,4,6
00079.png,72,3,4,6
00080.png,40,2,4,5
00081.png,36,2,3,6
00082.png,30,1,5,6
00083.png,8,1,2,4
00084.png,10,1,2,5
00085.png,6,1,2,3
00086.png,8,1,2,4
00087.png,120,4,5,6
00088.png,20,1,4,5
00089.png,90,3,5,6
00090.png,15,1,3,5
00091.png,24,2,3,4
00092.png,120,4,5,6
00093.png,20,1,4,5
00094.png,24,2,3,4
00095.png,40,2,4,5
00096.png,72,3,4,6
00097.png,120,4,5,6
00098.png,60,2,5,6
00099.png,20,1,4,5
00100.png,6,1,2,3
00101.png,10,1,2,5
00102.png,36,2,3,6
00103.png,60,2,5,6
00104.png,36,2,3,6
00105.png,120,4,5,6
00106.png,8,1,2,4
00107.png,6,1,2,3
00108.png,60,2,5,6
00109.png,60,2,5,6
00110.png,8,1,2,4
00111.png,36,2,3,6
00112.png,120,4,5,6
00113.png,72,3,4,6
00114.png,72,3,4,6
00115.png,90,3,5,6
00116.png,18,1,3,6
00117.png,120,4,5,6
00118.png,15,1,3,5
00119.png,15,1,3,5
00120.png,36,2,3,6
00121.png,90,3,5,6
00122.png,72,3,4,6
00123.png,120,4,5,6
00124.png,120,4,5,6
00125.png,36,2,3,6
00126.png,10,1,2,5
00127.png,8,1,2,4
00128.png,90,3,5,6
00129.png,6,1,2,3
00130.png,120,4,5,6
00131.png,24,2,3,4
00132.png,24,2,3,4
00133.png,10,1,2,5
00134.png,24,2,3,4
00135.png,72,3,4,6
00136.png,72,3,4,6
00137.png,40,2,4,5
00138.png,36,2,3,6
00139.png,15,1,3,5
00140.png,6,1,2,3
00141.png,90,3,5,6
00142.png,72,3,4,6
00143.png,18,1,3,6
00144.png,120,4,5,6
00145.png,10,1,2,5
00146.png,24,2,3,4
00147.png,120,4,5,6
00148.png,72,3,4,6
00149.png,48,2,4,6
